domain_composition,score,Assay Name,Donor Name,Experimental Timepoint,T Cell Type,K562 Condition,Sorted Cell Group,Read Count
TIGIT,0.0132695486726883,CTV2,d1,16d,CD4,neg,prolif2_d1_16d_CTV2_CD4_neg,66216
TIGIT,-0.283744792959629,CTV2,d1,16d,CD4,pos,prolif2_d1_16d_CTV2_CD4_pos,85611
TIGIT,0.241179405270786,CTV3,d1,24d,CD4,neg,prolif2_d1_24d_CTV3_CD4_neg,55621
TIGIT,-0.176821673479091,CTV3,d1,24d,CD4,pos,prolif2_d1_24d_CTV3_CD4_pos,77077
TIGIT,0.234752472967372,CTV1,d1,4d,CD8,pos,prolif2_d1_4d_CTV1_CD8_pos,94290
TIGIT,0.0,baseline,d1,0h,CD8,,prolif2_d1_0h_baseline_CD8_NA,71662
TIGIT,0.0466669302528513,CTV2,d1,16d,CD8,neg,prolif2_d1_16d_CTV2_CD8_neg,39995
TIGIT,-0.0215112841093443,CTV2,d1,16d,CD8,pos,prolif2_d1_16d_CTV2_CD8_pos,32989
TIGIT,0.0465646090960113,CTV3,d1,24d,CD8,pos,prolif2_d1_24d_CTV3_CD8_pos,64239
TIGIT,0.234752472967372,CTV1,d1,4d,CD8,pos,prolif2_d1_4d_CTV1_CD8_pos,41031
TIGIT,0.0466669302528513,CTV2,d1,16d,CD8,neg,prolif2_d1_16d_CTV2_CD8_neg,21049
TIGIT,-0.0215112841093443,CTV2,d1,16d,CD8,pos,prolif2_d1_16d_CTV2_CD8_pos,46304
TIGIT,-0.212166247798564,CTV3,d1,24d,CD8,neg,prolif2_d1_24d_CTV3_CD8_neg,26098
TIGIT,0.0465646090960113,CTV3,d1,24d,CD8,pos,prolif2_d1_24d_CTV3_CD8_pos,36632
TIGIT,0.234752472967372,CTV1,d1,4d,CD8,pos,prolif2_d1_4d_CTV1_CD8_pos,110424
TIGIT,0.0466669302528513,CTV2,d1,16d,CD8,neg,prolif2_d1_16d_CTV2_CD8_neg,54269
TIGIT,-0.0215112841093443,CTV2,d1,16d,CD8,pos,prolif2_d1_16d_CTV2_CD8_pos,66708
TIGIT,-0.212166247798564,CTV3,d1,24d,CD8,neg,prolif2_d1_24d_CTV3_CD8_neg,68541
TIGIT,0.0465646090960113,CTV3,d1,24d,CD8,pos,prolif2_d1_24d_CTV3_CD8_pos,43523
TIGIT,0.234752472967372,CTV1,d1,4d,CD8,pos,prolif2_d1_4d_CTV1_CD8_pos,114356
TIGIT,0.0466669302528513,CTV2,d1,16d,CD8,neg,prolif2_d1_16d_CTV2_CD8_neg,72797
TIGIT,-0.0215112841093443,CTV2,d1,16d,CD8,pos,prolif2_d1_16d_CTV2_CD8_pos,67163
TIGIT,-0.212166247798564,CTV3,d1,24d,CD8,neg,prolif2_d1_24d_CTV3_CD8_neg,86253
TIGIT,0.0465646090960113,CTV3,d1,24d,CD8,pos,prolif2_d1_24d_CTV3_CD8_pos,60720
TIGIT,0.130708786740633,CTV1,d2,4d,CD4,neg,prolif1_d2_4d_CTV1_CD4_neg,80614
TIGIT,0.228032700782305,CTV1,d2,4d,CD4,pos,prolif1_d2_4d_CTV1_CD4_pos,89572
TIGIT,0.0252493486816669,CTV2,d2,14d,CD4,neg,prolif1_d2_14d_CTV2_CD4_neg,56509
TIGIT,-0.0907485036267162,CTV2,d2,14d,CD4,pos,prolif1_d2_14d_CTV2_CD4_pos,74304
TIGIT,0.0060984630410368,CTV1,d2,3d,CD4,neg,prolif2_d2_3d_CTV1_CD4_neg,31445
TIGIT,0.2756495724181,CTV1,d2,3d,CD4,pos,prolif2_d2_3d_CTV1_CD4_pos,103838
TIGIT,0.0,baseline,d2,0h,CD4,,prolif1_d2_0h_baseline_CD4_NA,60846
TIGIT,0.0,baseline,d2,0h,CD4,,prolif2_d2_0h_baseline_CD4_NA,70565
TIGIT,-0.197167425547372,CTV3,d2,24d,CD4,pos,prolif1_d2_24d_CTV3_CD4_pos,35664
TIGIT,0.130708786740633,CTV1,d2,4d,CD4,neg,prolif1_d2_4d_CTV1_CD4_neg,54725
TIGIT,0.228032700782305,CTV1,d2,4d,CD4,pos,prolif1_d2_4d_CTV1_CD4_pos,81078
TIGIT,0.0252493486816669,CTV2,d2,14d,CD4,neg,prolif1_d2_14d_CTV2_CD4_neg,40472
TIGIT,-0.0907485036267162,CTV2,d2,14d,CD4,pos,prolif1_d2_14d_CTV2_CD4_pos,76904
TIGIT,0.0060984630410368,CTV1,d2,3d,CD4,neg,prolif2_d2_3d_CTV1_CD4_neg,41599
TIGIT,0.2756495724181,CTV1,d2,3d,CD4,pos,prolif2_d2_3d_CTV1_CD4_pos,67453
TIGIT,-0.197167425547372,CTV3,d2,24d,CD4,pos,prolif1_d2_24d_CTV3_CD4_pos,39234
TIGIT,0.130708786740633,CTV1,d2,4d,CD4,neg,prolif1_d2_4d_CTV1_CD4_neg,66263
TIGIT,0.228032700782305,CTV1,d2,4d,CD4,pos,prolif1_d2_4d_CTV1_CD4_pos,61451
TIGIT,0.0252493486816669,CTV2,d2,14d,CD4,neg,prolif1_d2_14d_CTV2_CD4_neg,10235
TIGIT,-0.0907485036267162,CTV2,d2,14d,CD4,pos,prolif1_d2_14d_CTV2_CD4_pos,75083
TIGIT,0.0060984630410368,CTV1,d2,3d,CD4,neg,prolif2_d2_3d_CTV1_CD4_neg,55539
